No.	Question ID	Question	Labels
1	55046d5ff8aee20f27000007	List signaling molecules (ligands) that interact with the receptor EGFR?	umls:aapp
2	52f8b2902059c6d71c000053	Which thyroid hormone transporter is implicated in thyroid hormone resistance syndrome?	umls:enzy
3	553fa78b1d53b76422000007	Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?	umls:nusq,umls:gngm
4	5149199dd24251bc05000040	Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?	umls:orch,umls:clnd,umls:phsu
5	5709e4b2cf1c32585100001c	List the human genes encoding for the dishevelled proteins?	tmtool:Gene,umls:bacs,umls:aapp
6	56bc751eac7ad10019000013	Name synonym of Acrokeratosis paraneoplastica.	umls:neop
7	54d4e03a3706e89528000001	Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?	umls:clas
8	55072c803b8a5dc045000001	Which are the different isoforms of the mammalian Notch receptor?	tmtool:Gene,umls:bacs,umls:gngm,umls:aapp
9	53061af558348c0f52000002	Which are the major characteristics of cellular senescence?	umls:celf,umls:comd
10	56c1f01def6e394741000045	Orteronel was developed for treatment of which cancer?	umls:neop
11	54d643023706e89528000007	Which is the protein that is encoded by the gene GLT8D1?	umls:gngm,umls:aapp
12	53137541e3eabad021000010	Which are the Yamanaka factors?	umls:bacs,umls:gngm,umls:aapp
13	56af9f130a360a5e45000015	Where is the protein Pannexin1 located?	umls:celc
14	52bf1b0a03868f1b06000009	What is the mode of inheritance of Wilson's disease?	umls:genf
15	52bf19c503868f1b06000001	What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?	umls:genf
16	54f9d3eedd3fc62544000004	Which proteins participate in the formation of the ryanodine receptor quaternary macromolecular complex?	tmtool:Gene,umls:gngm,umls:aapp
17	5505edac8e1671127b000005	What kind of chromatography is HILIC?	umls:lbpr
18	515deafd298dcd4e51000025	List the endoscopic diagnoses that have been reported in children with autism	umls:diap
19	5518e7da622b194345000004	Which MAP kinase phosphorylates the transcription factor c-jun?	umls:enzy
20	530a5117970c65fa6b000007	"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?"	umls:amas
21	52bf202003868f1b06000018	What are the main indications of lacosamide?	umls:dsyn
22	552fac4fbc4f83e828000006	Which fusion protein is involved in the development of Ewing sarcoma?	umls:aapp
23	56be0da3ef6e394741000007	List Hemolytic Uremic Syndrome Triad.	tmtool:Disease,umls:dsyn
24	515a7ffdd24251bc050000a5	What are the effects of depleting protein km23-1 (DYNLRB1) in a cell?	umls:lbtr
25	54cf7051f693c3b16b000013	Treatment of which disease was investigated in the MR CLEAN study?	umls:dsyn,umls:topp
26	56a92be0a17756b72f000009	Which factors activate zygotic gene expression during the maternal-to-zygotic transition in zebrafish?	umls:bacs,umls:aapp
27	54e0d1491388e8454a000014	Which enzyme is targeted by Evolocumab?	umls:enzy,umls:aapp
28	51404dd723fec90375000002	What is the methyl donor of DNA (cytosine-5)-methyltransferases?	umls:nnon,umls:bacs,umls:phsu,umls:aapp
29	54ede8c594afd61504000009	In which phase of the cell cycle arrest is impaired in Fanconi anemia?	umls:biof
30	551c23bc6b348bb82c00000b	Mutation of which gene is implicated in the familial isolated pituitary adenoma?	umls:gngm
31	5314a7a4dae131f847000003	which mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy?	umls:gngm
32	56c1f02cef6e39474100004c	GV1001 vaccine targets which enzyme?	umls:enzy,umls:aapp
33	550af222c2af5d5b7000000b	Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?	umls:enzy
34	56c1f03bef6e394741000053	Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?	umls:bacs,umls:aapp
35	532498959b2d7acc7e000017	Which enzyme is targeted by the drug Imetelstat?	umls:enzy,umls:aapp
36	56c1f005ef6e39474100003a	Which interleukins are inhibited by Dupilumab?	umls:imft,umls:aapp
37	513ce3c8bee46bd34c000008	Which human genes are more commonly related to craniosynostosis?	umls:gngm
38	571e1e11bb137a4b0c000004	List side effects of SGLT2 inhibitors?	umls:dsyn
39	5509f433c2af5d5b70000008	What is the method FASP used for?	umls:mbrt
40	533f9df0c45e133714000016	What is being measured with an accelerometer in back pain patients	umls:cnce
41	56c1f038ef6e394741000051	List symptoms of the IFAP syndrome.	tmtool:Disease
42	531a34d5b166e2b806000036	Which gene is required for the efficient function of clopidogrel?	umls:gngm
43	56cdf40d5795f9a73e00003d	Which transcription factor is considered as a master regulator of lysosomal genes?	tmtool:Gene,umls:gngm
44	53358cd2d6d3ac6a3400004e	List two common features of Tay syndrome.	umls:sosy,umls:dsyn
45	52b2d405f828ad283c000009	Which cell types are known to be driving Rheumatoid Arthritis?	umls:cell
46	553653a5bc4f83e828000007	Which technique is used for detection of EWS/FLI1 fusion transcripts?	umls:mbrt
47	516e5f41298dcd4e5100007f	What is the genetic basis of Rubinstein-Taybi syndrome?	umls:gngm
48	518cb4b5310faafe08000006	Which drugs are utilized to treat amiodarone-induced thyroitoxicosis?	umls:clnd,umls:phsu
49	52f223e02059c6d71c00000e	Which is the genetic defect causing Neurofibromatosis type 1?	umls:comd
50	5343caffaeec6fbd07000002	Which is the human selenoprotein that contains several Se-Cys residues?	umls:bacs,umls:aapp
51	5150b807d24251bc05000072	How many clinical trials for off-label drugs in neonates are cited in the literature.	_QUANTITY,umls:qnco
52	56c1d857ef6e394741000033	What enzyme is inhibied by Opicapone?	umls:enzy,umls:aapp
53	552faa43bc4f83e828000004	Which are the genes thought to be regulated by EWS/FLI?	umls:gngm
54	52fe58f82059c6d71c00007a	Do archaeal genomes contain one or multiple origins of replication?	_CHOICE,umls:qnco
55	533c3af6c45e13371400000d	Which pathological conditions are caused by mutations in the CYLD gene?	umls:neop,umls:dsyn
56	5319ac99b166e2b806000034	Which is the third subunit of the TSC1-TSC2 complex upstream of mTORC1?	umls:gngm,umls:aapp
57	54f89e1a06d9727f76000001	Which kinase is inhibited by the small molecule KN-93?	umls:enzy,umls:aapp
58	54d65b6b3706e8952800000c	List genes that have been found mutated in CMT1A (Charcot-Marie-Tooth disease type 1 A).	umls:gngm
59	517a8c918ed59a060a000043	Which viruses are best known to cause myocarditis?	umls:virs
60	571e275dbb137a4b0c000005	What are 'vildagliptin', 'sitagliptin', 'saxagliptin', 'alogliptin', 'linagliptin', and 'dutogliptin'?	umls:enzy,umls:imft,umls:aapp
61	51739df58ed59a060a00001c	Which is the most important prognosis sub-classification in Chronic Lymphocytic Leukemia?	umls:clas
62	56e857ae42442bac75000004	What is needed for MMP proteins to be functional?	tmtool:Chemical,umls:elii,umls:bacs,umls:phsu
63	5509c52f1180f13250000004	What is hyperosmia	umls:dsyn
64	535d2cf09a4572de6f000004	What is the number of long non coding RNAs in the human genome	_QUANTITY,umls:qnco
65	55475dc2f35db75526000001	Which is the most known bacterium responsible for botulism (sausage-poisoning)?	umls:bact
66	550320cbe9bde6963400002d	List symptoms of 4H leukodystrophy.	umls:sosy,tmtool:Disease
67	511a4d391159fa8212000003	Which are the plant DNA (cytosine-5) methyltransferase families?	umls:dsyn,umls:gngm,umls:bacs,umls:phsu,umls:aapp
68	52fe52702059c6d71c000078	Where is the histone variant CENPA preferentially localized?	umls:nusq
69	517137c18ed59a060a000001	In which proteins is the chromodomain present?	umls:gngm,umls:aapp
70	5339ecf4d6d3ac6a3400005f	Which is the prognostic meaning of delayed enhancement documented in patients hypertrophic cardiomyopathy?	umls:sosy
71	532083389b2d7acc7e000003	Are there drugs for Tick-borne Encephalitis?	umls:clnd
72	5717d64f29809bbe7a000001	Which is the cellular localization of the protein Opa1?	umls:celc
73	531d7430267d7dd053000008	Which are the drugs utilized for the burning mouth syndrome?	umls:clnd
74	5523f1a62c8b63434a000002	Which mutations of phopspholamban have been found in patients with cardiomyopathy?	umls:genf
75	52df8ce798d023950500000d	Which are the supplemental antioxidant in athletes?	umls:orch,umls:chem,umls:phsu
76	552421082c8b63434a000005	What is the enzymatic activity of the breast cancer associated gene BRCA1?	umls:celf
77	5505b9ff8e1671127b000001	List markers for autophagy.	tmtool:Gene,umls:gngm,umls:aapp
78	5710a592cf1c32585100002a	Which metabolite activates AtxA?	umls:inch
79	532366f09b2d7acc7e000015	Which amino acid residue appears mutated in most of the cases reported with cadasil syndrome?	umls:bacs,umls:aapp
80	55414a763f2354b713000003	Which databases exist for experimentally determined topologies of α-helical transmembrane proteins ?	umls:mnob
81	52ed795098d0239505000032	Is the transcriptional regulator BACH1 an activator or a repressor?	_CHOICE,umls:aapp
82	55000cc4e9bde69634000004	Which disease is characterized by congenital absence of intrinsic ganglion cells of the gastrointestinal tract?	umls:dsyn
83	54ede28094afd61504000003	What is the disease in which patients are sensitive to DNA crosslinking agents, presenting with a high frequency of chromosomal aberrations?	tmtool:Disease,umls:dsyn
84	56ecfd572ac5ed1459000002	How is oprozomib administered?	umls:bsoj
85	533c2230c45e133714000002	What are the biological roles proposed for proteins containing the SPRY domain?	umls:biof
86	514241fcd24251bc05000006	The protein NONO forms heterodimers. With which proteins?	umls:bacs,umls:gngm,umls:aapp
87	5709ee36cf1c32585100001e	Which syndrome is associated with mutant DVL1?	umls:dsyn
88	54d649843706e89528000009	What is the target of the drug Olaparib?	umls:enzy,umls:aapp
89	56f802ea09dd18d46b000017	List human proteins that are subject to a dimer-to-tetramer transition.	tmtool:Gene
90	5335c7f2d6d3ac6a34000051	Inhibition of which transporter is the mechanism of action of drug Canagliflozin?	umls:aapp,umls:phsu
91	531376c8e3eabad021000012	which mutations of phospholamban gene have been found to cause hypertrophic cardiomyopathy?	umls:gngm
92	5545186cbf90a13052000002	Which gene strand is targeted by transcription-coupled repair (TCR)?	umls:nusq
93	5312280ce3eabad02100000a	Abnormalities in which chromosomes were linked to the Moyamoya disease?	umls:gngm
94	5357a6d0f1005d6b58000004	Which is the branch site consensus sequence in U12-dependent introns?	umls:nusq
95	54df69af1388e8454a000005	Which drugs are included in the FEC-75 regimen?	tmtool:Chemical,umls:orch,umls:clnd,umls:phsu
96	5536554abc4f83e828000008	Between which probes does the recurrent translocation breakpoint on chromosome 22 of neuroepithelioma lie?	umls:nusq
97	56ed03862ac5ed1459000004	Which enzyme does MLN4924 inhibit?	umls:enzy,umls:aapp
98	54f9cb34dd3fc62544000002	Which protein has been found to interact with phospholamban (PLN) and is also an anti-apoptotic protein?	umls:bacs,umls:aapp
99	535d3c069a4572de6f000006	What is the number of protein coding genes in the human genome?	_QUANTITY,umls:qnco
100	515df063298dcd4e51000029	What is the indication for prophylactic use of antibiotics in COPD?	umls:sosy
101	54d73e223706e89528000010	What is the generic name of Gliolan?	umls:bacs,umls:phsu,umls:aapp
102	515db083298dcd4e51000012	How many genes does the human hoxD cluster contain?	_QUANTITY,umls:qnco
103	55058af6f73303d458000004	Which protein is the E3-ubiquitin ligase that targets the tumor suppressor p53 for proteasomal degradation?	umls:gngm,umls:aapp
104	5156be75d24251bc05000088	Which diseases is microRNA 132 (miR-132) implicated in?	umls:dsyn
105	535d35779a4572de6f000005	What is the proportion of non canonical splice sites in the human genome?	_QUANTITY,umls:qnco
106	55184d46622b194345000001	List protein gel staining methods visualizing the entire protein set.	umls:mbrt
107	54cf43abf693c3b16b000008	Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?	umls:bpoc
108	55391ce8bc4f83e828000018	Which signaling pathways have been associated with medulloblastoma formation and growth?	umls:biof
109	51542dc3d24251bc0500007e	What are the symptoms of abacavir hypersensitivity?	umls:sosy
110	55376663bc4f83e82800000a	Which biomarker is widely used in the diagnosis of Ewing sarcoma?	umls:imft,umls:aapp
111	51595fb0d24251bc0500009c	Proteomic analyses have revealed proteins associated with the triple-negative breast cancers. List some proposed proteins.	umls:gngm,umls:aapp
112	52f11b922059c6d71c000004	Which signalling pathway is involved in Tuberous Sclerosis?	umls:celf
113	536787467d100faa09000010	Which is the relation between sweating and anaerobic threshold?	umls:cnce
114	5547d700f35db75526000007	Which are the major types of the motor speech disorder dysarthria?	umls:fndg,umls:dsyn
115	571f609c0fd6f91b6800000c	Which enzyme deficiency can cause GM1 gangliosidoses?	umls:enzy,umls:phsu,umls:aapp
116	55032e65e9bde69634000034	What is the characteristic feature of the Dyke-Davidoff-Masson syndrome.	umls:sosy,tmtool:Disease,umls:dsyn
117	5717d86029809bbe7a000003	Which gene is involved in the development of Barth syndrome?	umls:gngm
118	531b1e3cb166e2b80600003b	Which histone modifications are associated with Polycomb group (PcG) proteins?	umls:genf
119	52d832dd98d0239505000003	List phosphorylation consensus motifs for Casein Kinase 1 (CK1)?	umls:amas
120	56bb616dac7ad10019000008	What medication were compared in the ROCKET AF Trial?	tmtool:Chemical,umls:orch,umls:phsu
121	514a0f4ad24251bc05000053	How many genes are in the gene signature screened by MammaPrint?	_QUANTITY,umls:qnco
122	535d59349a4572de6f000009	What are the indications for treatment with anti-hepcidin?	umls:dsyn
123	51651e24298dcd4e51000054	How many genera comprise the Flaviviridae family?	_QUANTITY,umls:qnco
124	5713bf261174fb1755000011	For the constructions of which organs has 3D printing been tested?	umls:bpoc
125	52fbe2bf2059c6d71c00006c	Where is the histone variant CENPA preferentially localized?	umls:gngm
126	52b2e498f828ad283c000010	Mutation of which gene is associated with Achondroplasia?	umls:rcpt,umls:gngm,umls:aapp
127	5147c088d24251bc05000026	Which type of lung cancer is the most strongly associated with Lambert-Eaton syndrome?	umls:neop,umls:dsyn
128	5503263fe9bde69634000030	List three major features of the CCFDN syndrome.	umls:sosy,umls:cgab,tmtool:Disease
129	5309f8f5970c65fa6b000001	Which oncogenes are able to induce cellular senescence?	umls:enzy,umls:gngm,umls:aapp
130	517901bc8ed59a060a00003b	The antibodies MK-3475 and CT-011 have shown promising results in treating malignancies. Which protein are they targeting?	umls:gngm,umls:aapp
131	5517f9286487737b43000002	Which are the different proteins/isoforms encoded but the ASPH (aspartate beta-hydroxylase) gene in humans?	umls:aapp
132	54e0e902ae9738404b000001	What family do mDia proteins belong in?	umls:aapp
133	554356d0ed966d112c000005	"Which is the most common measure of differences between dinucleotide relative abundance ""genomic signatures"""	umls:cnce
134	532206819b2d7acc7e00000f	Name a method for enrichment of arginine-methylated peptides.	umls:mbrt
135	54d8fd334b1fd0d33c000005	Rindopepimut is an analog of which growth factor?	umls:rcpt,umls:aapp
136	52ea605098d0239505000028	Which gene mutations are responsible for isolated Non-compaction cardiomyopathy?	umls:gngm
137	52f89fc62059c6d71c000050	From which tissue was the NCI-H520 cell-line derived?	umls:neop,umls:tisu
138	52f350042059c6d71c000010	What is the incidence of Edwards syndrom in the european population?	_QUANTITY,umls:qnco
139	54f60ae05f206a0c06000008	What is the substrate of the microbial enzyme inulinase?	umls:carb
140	517a8cc68ed59a060a000044	What is the treatment of acute myocarditis?	umls:topp,umls:phsu
141	5318367cb166e2b806000012	List causative genes for autosomal recessive forms of monogenic Parkinson's disease	umls:gngm
142	52e8e98298d0239505000020	Which diseases are caused by mutations in Calsequestrin 2 (CASQ2) gene?	umls:dsyn
143	5324a8ac9b2d7acc7e000018	What tyrosine kinase, involved in a Philadelphia- chromosome positive chronic myelogenous leukemia, is the target of Imatinib (Gleevec)?	umls:enzy,umls:gngm
144	571e172bbb137a4b0c000002	When was empagliflozin FDA approved?	umls:orch
145	56be06cdef6e394741000004	List symptoms of congenital toxoplasmosis triad.	tmtool:Disease,umls:dsyn
146	57090c33cf1c325851000013	How many genes are imprinted in the human genome?	_QUANTITY
147	515d1ff7298dcd4e51000009	Which cellular processes are regulated by Nanog?	umls:celf
148	5157539ed24251bc0500008a	Gene silencing can be achieved by RNA interference (RNAi) in eukaryotic organisms. What is the name of the analogous process in prokaryotic organisms?	umls:npop,umls:orgf
149	530cf4e0c8a0b4a00c000004	Which mutations of alpha-myosin heavy chain gene are implicated in hypertrophic cardiomyopathy?	umls:gngm
150	530cf4e0c8a0b4a00c000005	Which are the cardiac manifestations of Marfan syndrome?	umls:sosy,umls:dsyn
151	530cf4e0c8a0b4a00c000006	Which is the most common cause of sudden cardiac death in young athletes?	umls:dsyn
152	530cf4e0c8a0b4a00c000007	What is the rate of survival after commotio cordis?	_QUANTITY,umls:qnco
153	52e0141498d023950500000e	What are the results of loss of the protein Lon1 in the plant Arabidopsis?	umls:sosy
154	572096c90fd6f91b6800000e	Which gene is involved in Giant Axonal Neuropathy?	umls:gngm
155	5173bdb38ed59a060a000020	How many TAp73 isoforms have been identified in humans?	_QUANTITY,umls:qnco
156	5518e817622b194345000006	Which are the different members/isoforms of the Ras oncogenes?	umls:gngm
157	53442ca9aeec6fbd0700000b	Which is the subcellular localization of ERAP2?	umls:celc
158	530cefaaad0bf1360c000003	What are the names of anti-CD52 monoclonal antibody that is used for treatment of multiple sclerosis patients?	umls:orch,umls:imft,umls:aapp,umls:phsu
159	530cefaaad0bf1360c000002	Which brain structures have been investigated as potential targets for deep brain stimulation of patients suffering from major depression?	umls:bpoc
160	530cefaaad0bf1360c000007	List anti-amyloid-beta monoclonal antibodies that have been investigated in clinical trials for treatment of Alzheimer disease.	umls:imft,umls:phsu,umls:aapp
161	52ecf2dd98d023950500002e	Which deiodinase polymorphisms are implicated in arterial hypertension?	umls:gngm
162	52efbfccc8da898910000018	At which kind of individuals is pharmacological treatment of subclinical hypothyroidism effective in reducing cardiovascular events?	umls:qlco
163	52d63b2803868f1b0600003a	From which tissue was the NCI-H520 cell-line derived?	umls:bpoc,umls:tisu
164	5319abe4b166e2b80600002e	Which transcription factors are involved in E-cadherin repression during EMT?	umls:gngm,umls:aapp
165	54ff30dc6ad7dcbc1200000f	List human diseases involving genomic imprinting.	umls:dsyn
166	530cefaaad0bf1360c000012	Which deficiency is the cause of restless leg syndrome?	umls:inch,umls:elii,umls:bacs,umls:phsu
167	53398855d6d3ac6a3400005b	What histone modification is recognized by the bromodomain?	umls:aapp
168	530cefaaad0bf1360c000011	"What memory problems are reported in the "" Gulf war syndrome""?"	umls:sosy,umls:mobd
169	55031628e9bde69634000024	Which neuroendocrine tumors are associated with specific tumor syndromes?	tmtool:Disease,umls:neop,umls:dsyn
170	56d1da3b67f0cb3d66000006	How many periods of regulatory innovation led to the evolution of vertebrates?	_QUANTITY
171	530cefaaad0bf1360c00000c	List medication interfering with purine metabolism that are used for treatment of T-cell prolymphocytic leukemia?	umls:nnon,umls:antb,umls:clnd
172	530cefaaad0bf1360c00000d	Which hormone abnormalities are common in Williams syndrome ?	umls:horm,umls:dsyn
173	56f6d11c09dd18d46b00000f	Which is the protein encoded by the human gene GRIK?	umls:gngm
174	550c4011a103b78016000009	Which residue of alpha-synuclein was found to be phosphorylated in Lewy bodies?	umls:aapp
175	54d670163706e8952800000f	List Genes associated with adolescent idiopathic scoliosis	umls:gngm
176	5324cf139b2d7acc7e00001f	List the off-label use of SSRIs	umls:sosy,umls:mobd,umls:dsyn
177	56bc9268ac7ad1001900001b	What molecule is targeted by brodalumab?	umls:imft,umls:aapp
178	54ff5197e9bde69634000001	"How long, in kb (kilobases), is a ""Long interspersed nuclear element""?"	_QUANTITY,umls:qnco
179	5343fc1aaeec6fbd07000003	Which is the gene mutated in type 1 neurofibromatosis?	umls:neop,umls:gngm
180	54cf705ff693c3b16b000014	List receptors of the drug Cilengitide	umls:rcpt,umls:aapp
181	5171a1498ed59a060a000012	Which genes are more frequently affected by somatic mutations in Chronic Lymphocytic Leukemia	umls:gngm
182	516be1d6298dcd4e5100006a	What is the mode of inheritance of nemaline myopathy?	umls:genf
183	56d860ad51531f7e33000002	Which syndrome is NHE6 associated with?	umls:dsyn
184	52bf1cad03868f1b0600000a	Which virus is Cidofovir (Vistide) indicated for?	umls:virs,umls:dsyn
185	54d77bdf3706e89528000019	List chromosomes that have been linked to Arnold Chiari syndrome in the literature.	umls:nusq
186	552faababc4f83e828000005	Which translocation is the hallmark of Ewing sarcoma?	umls:lbpr,umls:phpr
187	55390901bc4f83e828000014	What is the effect of CRD-BP on the stability of c-myc mRNA?	umls:celf
188	5311b99ae3eabad021000004	Which medical diagnostic tests are used to test kidney function?	umls:enzy,umls:diap,umls:lbpr,umls:topp,umls:rcpt,umls:bacs,umls:phsu,umls:aapp
189	53189656b166e2b80600001c	Against which protein is the antibody used for immonostaining of Lewy bodies raised?	umls:bacs,umls:aapp
190	5131fa145274a5fb07000009	Which are the main causes of fetal echogenic bowel?	umls:dsyn
191	54d6562c3706e8952800000b	Which is the enzymatic activity of the myotubularin family of proteins?	umls:biof
192	515ddda6298dcd4e5100001f	What is the percentage of responders to tetrabenazine treatment for dystonia in children?	_QUANTITY,umls:qnco
193	56bc7d71ac7ad10019000018	Which disease can be treated with Delamanid?	umls:dsyn
194	51630226298dcd4e5100004d	What are the advantages of the top down mass spectrometric analysis of histones?	umls:lbtr
